COUNTRY,DESTINATION,DOMAIN,ACTIVE
FR,SFR,9business.fr,1
FR,SFR,9online.fr,1
AA,Yahoo,aim.com,1
IT,Alice,alice.it,1
FR,FREE,aliceadsl.fr,1
FR,FREE,alicepro.fr,1
AT,Yahoo,aol.at,1
BE,Yahoo,aol.be,1
CH,Yahoo,aol.ch,1
CL,Yahoo,aol.cl,1
NZ,Yahoo,aol.co.nz,1
UK,Yahoo,aol.co.uk,1
AA,Yahoo,aol.com,1
AR,Yahoo,aol.com.ar,1
AU,Yahoo,aol.com.au,1
BR,Yahoo,aol.com.br,1
CO,Yahoo,aol.com.co,1
MX,Yahoo,aol.com.mx,1
TR,Yahoo,aol.com.tr,1
VE,Yahoo,aol.com.ve,1
CZ,Yahoo,aol.cz,1
DE,Yahoo,aol.de,1
DK,Yahoo,aol.dk,1
ES,Yahoo,aol.es,1
FI,Yahoo,aol.fi,1
FR,Yahoo,aol.fr,1
HK,Yahoo,aol.hk,1
IN,Yahoo,aol.in,1
IT,Yahoo,aol.it,1
JP,Yahoo,aol.jp,1
KR,Yahoo,aol.kr,1
NL,Yahoo,aol.nl,1
PL,Yahoo,aol.pl,1
RU,Yahoo,aol.ru,1
SE,Yahoo,aol.se,1
TW,Yahoo,aol.tw,1
DE,Arcor,arcor.de,1
RU,Rambler,autorambler.ru,1
FR,Bouygues,bbox.fr,1
NET,Yahoo,bellatlantic.net,1
RU,Mail.ru,bk.ru,1
IT,Libero,blu.it,1
CH,Bluewin,bluewin.ch,1
UK,Vodafone,blueyonder.co.uk,1
UK,BT,bt.com,1
UK,BT,btconnect.com,1
UK,BT,btinternet.com,1
UK,BT,btopenworld.com,1
FR,GMX,caramail.com,1
FR,SFR,cario.fr,1
FR,SFR,cegetel.net,1
NET,Yahoo,citlink.net,1
FR,SFR,club-internet.fr,1
US,Comcast,comcast.net,1
AA,Yahoo,compuserve.com,1
AA,Yahoo,cs.com,1
AA,Microsoft,dbmail.com,1
IT,EmailIT,email.it,1
AA,Facebook,facebook.com,0
FR,SFR,fnac.net,1
FR,FREE,free.fr,1
DE,Freenet,freenet.de,1
FR,FREE,freesbee.fr,1
AA,Yahoo,frontier.com,1
NET,Yahoo,frontiernet.net,1
AA,Yahoo,games.com,1
IT,Libero,giallo.it,1
AA,Google,gmail.com,1
AT,GMX,gmx.at,1
DE,GMX,gmx.de,1
FR,GMX,gmx.fr,1
DE,GMX,gmx.net,1
AA,Google,googlemail.com,1
AA,Yahoo,goowy.com,1
NET,Yahoo,gte.net,1
